SCIENTIFIC_NAME,HBI,FBI
Aulodrilus;piqueti,7,7
Aulodrilus;pluriseta,7,7
Aulodrilus,7,7
Bothrioneurum;vejdovskyanum,7,7
Bothrioneurum,7,7
Branchiura;sowerbyi,6,6
Branchiura,6,6
Ilyodrilus;templetoni,10,10
Ilyodrilus,10,10
Isochaetides;freyi,8,8
Isochaetides,8,8
Limnodrilus;cervix,10,10
Limnodrilus;claparedeianus,10,10
Limnodrilus;hoffmeisteri,10,10
Limnodrilus;profundicola,10,10
Limnodrilus;udekemianus,10,10
Limnodrilus,10,10
Peloscolex;ferox,6,6
Peloscolex,6,6
Potamothrix;moldaviensis,8,8
Potamothrix;vejdovskyi,8,8
Potamothrix,8,8
Quistadrilus;multisetosus,10,10
Quistadrilus,10,10
Rhyacodrilus;subterraneus,10,10
Rhyacodrilus,10,10
Spirosperma;ferox,10,10
Spirosperma,6,6
Tubifex;tubifex,10,10
Tubifex,10,10
Naididae,8,8
Naidinae,8,8
Amphichaeta;americana,6,6
Amphichaeta,6,6
Arcteonais;lomondi,6,6
Arcteonais,6,6
Chaetogaster;diaphanus,7,7
Chaetogaster;diastrophus,7,7
Chaetogaster;limnaei,7,7
Chaetogaster;setosus,7,7
Chaetogaster,7,7
Dero;digitata,10,10
Dero;flabelliger,10,10
Dero;furcata,10,10
Dero;nivea,10,10
Dero;obtusa,10,10
Dero;pectinata,10,10
Dero,10,10
Haemonais;waldvogeli,8,8
Haemonais,8,8
Nais;barbata,8,8
Nais;behningi,6,6
Nais;bretscheri,6,6
Nais;communis,8,8
Nais;elinguis,10,10
Nais;pardalis,8,8
Nais;simplex,6,6
Nais;variabilis,10,10
Nais,8,8
Ophidonais;serpentina,6,6
Ophidonais,6,6
Paranais;frici,10,10
Paranais,10,10
Piguetiella;michiganensis,6,6
Piguetiella,6,6
Pristina;aequiseta,8,8
Pristina;breviseta,8,8
Pristina;leidyi,8,8
Pristina;menoni,8,8
Pristina;synclites,8,8
Pristina,8,8
Pristinella;jenkinae,8,8
Pristinella;osborni,8,8
Pristinella,8,8
Ripistes;parasita,8,8
Ripistes,8,8
Slavina;appendiculata,6,6
Slavina,6,6
Specaria;josinae,6,6
Specaria,6,6
Stylaria;lacustris,6,6
Stylaria,6,6
Vejdovskyella;comata,6,6
Vejdovskyella;intermedia,6,6
Vejdovskyella,6,6
HIRUDINEA,8,8
ARHYNCHOBDELLIDA,8,8
Erpobdellidae,8,8
Erpobdella,8,8
RHYNCHOBDELLIDA,8,8
Glossiphoniidae,8,8
Batracobdella;phalera,8,8
Batracobdella,8,8
Helobdella;elongata,8,8
Helobdella;stagnalis,8,8
Helobdella;triserialis,8,8
Helobdella,8,8
Placobdella;montifera,8,8
Placobdella,8,8
APHANONEURA,8,8
AEOLOSOMATIDA,8,8
Aeolosomatidae,8,8
Aeolosoma;headleyi,8,8
Aeolosoma;leidyi,8,8
Aeolosoma;quarternarium,8,8
Aeolosoma;tenebrarum,8,8
Aeolosoma;travancorense,8,8
Aeolosoma,8,8
BRANCHIOBDELLA,6,6
BRANCHIOBDELLIDA,6,6
Branchiobdellidae,6,6
Branchiobdella,6,6
GASTROPODA,7,7
BASOMMATOPHORA,7,7
Physidae,8,8
Physella;ancillaria,8,8
Physella;gyrina,8,8
Physella;heterostropha,8,8
Physella;integra,8,8
Physella,8,8
Lymnaeidae,6,6
Fossaria,6,6
Lymnaea;stagnalis,6,6
Lymnaea,6,6
Pseudosuccinea;columella,6,6
Pseudosuccinea,6,6
Radix;auricularia,6,6
Radix,6,6
Stagnicola;catascopium,6,6
Stagnicola;elodes,6,6
Stagnicola,6,6
Planorbidae,6,6
Gyraulus;circumstriatus,8,8
Gyraulus;deflectus,8,8
Gyraulus;parvus,8,8
Gyraulus,8,8
Helisoma;anceps,6,6
Helisoma;campanulata,6,6
Helisoma;trivolvis,6,6
Helisoma,6,6
Micromenetus;dilatatus,6,6
Micromenetus,6,6
Ancylidae,6,6
Ferrissia;parallela,6,6
Ferrissia;rivularis,6,6
Ferrissia;walkeri,6,6
Ferrissia,6,6
Laevapex;fuscus,6,6
Viviparidae,6,6
Campeloma;decisum,6,6
Campeloma,6,6
Cipangopaludina,9,9
Viviparus;georgianus,6,6
Viviparus,6,6
Pleuroceridae,6,6
Goniobasis;livescens,6,6
Goniobasis;virginica,6,6
Goniobasis,6,6
Pleurocera;acuta,6,6
Pleurocera,6,6
Bithyniidae,8,8
Bithynia;tentaculata,8,8
Bithynia,8,8
Hydrobiidae,8,8
Amnicola;decepta,5,5
Amnicola;grana,5,5
Amnicola;limosa,5,5
Amnicola,5,5
Cincinnatia;cincinnatiensis,5,5
Cincinnatia,5,5
Pomatiopsis;lapidaria,8,8
Pomatiopsis,8,8
Probythinella;lacustris,8,8
Probythinella,8,8
Valvatidae,8,8
Valvata;lewisi,8,8
Valvata;piscinalis,8,8
Valvata;sincera,8,8
Valvata;tricarinata,8,8
Valvata,8,8
UNIONIDA,6,6
Unionidae,6,6
Anodonta;implicata,6,6
Anodonta,6,6
Elliptio;complanata,8,8
Elliptio,8,8
Lampsilis;radiata,6,6
Lampsilis,6,6
Pyganodon;cataracta,6,6
Pyganodon,6,6
Unionidae,6,6
Corbiculidae,6,6
Corbicula;fluminea,6,6
Corbicula,6,6
Corbiculidae,6,6
Dreisseniidae,8,8
Dreissena;bugensis,8,8
Dreissena;polymorpha,8,8
Dreissena,8,8
Dreisseniidae,8,8
Musculium;partumeium,6,6
Musculium;transversum,6,6
Musculium,6,6
Pisidium;amnicum,6,6
Pisidium;casertanum,6,6
Pisidium;compressum,6,6
Pisidium;variabile,6,6
Pisidium,6,6
Sphaerium;corneum,6,6
Sphaerium;rhomboideum,6,6
Sphaerium;striatinum,6,6
Sphaerium,6,6
Pisidiidae,6,6
Cyathura;polita,5,5
Cyathura,5,5
Anthuridae,5,5
Chiridotea;almyra,5,5
Chiridotea,5,5
Edotea,5,5
Idoteidae,5,5
Caecidotea;communis,8,8
Caecidotea;intermedius,8,8
Caecidotea;racovitzai,8,8
Caecidotea,8,8
Lirceus,8,8
Asellidae,8,8
Isopoda,7,7
Crangonyx,6,6
Crangonyctidae,6,6
Echinogammarus;ischnus,9,9
Gammarus;fasciatus,6,6
Gammarus;pseudolimnaeus,4,4
Gammarus;tigrinus,6,6
Gammarus,6,6
Gammaridae,6,6
Monoculodes;edwardsi,5,5
Monoculodes,5,5
Oedicerotidae,5,5
Hyalella;azteca,8,8
Hyalella,8,8
Talitridae,8,8
Almyracuma;proximoculi,5,5
Almyracuma,5,5
Nannastacidae,5,5
Cambarus;bartonii,6,6
Cambarus,6,6
Orconectes;obscurus,6,6
Orconectes;propinquus,6,6
